JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim,Predicted Kernel Time
0-144-40,144,40,92480,5760,1352,1,4320,345600,172800,28800,144000,3,6,40,240,18,40,102673.67265566869
0-160-30,160,30,77040,4800,16536,1,6400,384000,192000,38400,153600,4,5,30,320,20,30,109293.2086282639
0-112-50,112,50,90000,5600,4344,1,2688,268800,134400,19200,115200,2,7,50,192,14,50,111562.68759402318
0-144-30,144,30,69360,4320,24472,1,5760,345600,172800,28800,144000,3,6,30,320,18,30,114706.46612032934
0-48-120,48,120,93120,5760,1480,1,960,230400,115200,19200,96000,1,6,120,160,6,120,115062.9802575974
0-80-60,80,60,77280,4800,16936,1,2400,288000,144000,28800,115200,2,5,60,240,10,60,116169.14314517064
0-96-60,96,60,92640,5760,1960,1,1920,230400,115200,19200,96000,2,6,60,160,12,60,116556.75655993505
0-128-40,128,40,82240,5120,11848,1,3840,307200,153600,38400,115200,4,4,40,240,16,40,117019.54933413549
0-160-25,160,25,64200,4000,29376,1,7680,384000,192000,38400,153600,4,5,25,384,20,25,117077.70115908666
0-120-40,120,40,77120,4800,17096,1,3600,288000,144000,28800,115200,3,5,40,240,15,40,118462.72090014501
0-160-24,160,24,61632,3840,31944,1,8000,384000,192000,38400,153600,4,5,24,400,20,24,118784.15042361303
0-56-100,56,100,90400,5600,4392,1,1008,201600,100800,14400,86400,1,7,100,144,7,100,119697.38966998144
0-112-40,112,40,72000,4480,22344,1,3360,268800,134400,19200,115200,2,7,40,240,14,40,119905.89245089574
0-40-120,40,120,77760,4800,16776,1,1000,240000,120000,24000,96000,1,5,120,200,5,120,121180.25664004369
0-48-100,48,100,77600,4800,17000,1,1152,230400,115200,19200,96000,1,6,100,192,6,100,121287.98209628148
0-144-25,144,25,57800,3600,36032,1,6912,345600,172800,28800,144000,3,6,25,384,18,25,121746.54869326635
0-80-50,80,50,64400,4000,29816,1,2880,288000,144000,28800,115200,2,5,50,288,10,50,122187.6738954453
0-72-75,72,75,87000,5400,7408,1,1728,259200,129600,43200,86400,3,3,75,192,9,75,122465.18634661718
0-96-50,96,50,77200,4800,17400,1,2304,230400,115200,19200,96000,2,6,50,192,12,50,123251.05681857152
0-144-24,144,24,55488,3456,38344,1,7200,345600,172800,28800,144000,3,6,24,400,18,24,123291.05667361303
0-32-150,32,150,78000,4800,16600,1,768,230400,115200,28800,86400,1,4,150,192,4,150,124711.8651681809
0-64-75,64,75,77400,4800,17200,1,1536,230400,115200,28800,86400,2,4,75,192,8,75,125697.58565768285
0-160-20,160,20,51360,3200,42216,1,9600,384000,192000,38400,153600,4,5,20,480,20,20,126357.70128878637
0-40-100,40,100,64800,4000,29736,1,1200,240000,120000,24000,96000,1,5,100,240,5,100,126502.52934893651
0-168-30,168,30,80880,5040,13912,1,3360,201600,100800,14400,86400,3,7,30,160,21,30,127431.39290103002
0-128-30,128,30,61680,3840,32408,1,5120,307200,153600,38400,115200,4,4,30,320,16,30,127759.4125924973
0-120-30,120,30,57840,3600,36376,1,4800,288000,144000,28800,115200,3,5,30,320,15,30,128556.1190782456
0-80-40,80,40,51520,3200,42696,1,3600,288000,144000,28800,115200,2,5,40,360,10,40,128838.1111169724
0-56-75,56,75,67800,4200,26992,1,1344,201600,100800,14400,86400,1,7,75,192,7,75,128929.98495730443
0-112-30,112,30,54000,3360,40344,1,4480,268800,134400,19200,115200,2,7,30,320,14,30,129352.8255525498
0-48-75,48,75,58200,3600,36400,1,1536,230400,115200,19200,96000,1,6,75,256,6,75,129505.2511850266
0-72-60,72,60,69600,4320,24808,1,2160,259200,129600,43200,86400,3,3,60,240,9,60,130038.29561862035
0-144-20,144,20,46240,2880,47592,1,8640,345600,172800,28800,144000,3,6,20,480,18,20,130151.54577120824
0-96-40,96,40,61760,3840,32840,1,2880,230400,115200,19200,96000,2,6,40,240,12,40,130431.92462405248
0-32-120,32,120,62400,3840,32200,1,960,230400,115200,28800,86400,1,4,120,240,4,120,130954.13613757177
0-24-200,24,200,78400,4800,16392,1,504,201600,100800,33600,67200,1,3,200,168,3,200,132058.2715593247
0-64-60,64,60,61920,3840,32680,1,1920,230400,115200,28800,86400,2,4,60,240,8,60,132447.9145608811
0-40-75,40,75,48600,3000,45936,1,1600,240000,120000,24000,96000,1,5,75,320,5,75,133639.17567690893
0-168-25,168,25,67400,4200,27392,1,4032,201600,100800,14400,86400,3,7,25,192,21,25,134027.28623065038
0-128-25,128,25,51400,3200,42688,1,6144,307200,153600,38400,115200,4,4,25,384,16,25,134055.08523043676
0-120-25,120,25,48200,3000,46016,1,5760,288000,144000,28800,115200,3,5,25,384,15,25,134479.58674105688
0-56-60,56,60,54240,3360,40552,1,1680,201600,100800,14400,86400,1,7,60,240,7,60,134857.53348788305
0-48-60,48,60,46560,2880,48040,1,1920,230400,115200,19200,96000,1,6,60,320,6,60,134900.6971994309
0-112-25,112,25,45000,2800,49344,1,5376,268800,134400,19200,115200,2,7,25,384,14,25,134904.0882593064
0-32-100,32,100,52000,3200,42600,1,1152,230400,115200,28800,86400,1,4,100,288,4,100,135341.03141268773
0-168-24,168,24,64704,4032,30088,1,4200,201600,100800,14400,86400,3,7,24,200,21,24,135424.505098906
0-128-24,128,24,49344,3072,44744,1,6400,307200,153600,38400,115200,4,4,24,400,16,24,135437.65191134496
0-72-50,72,50,58000,3600,36408,1,2592,259200,129600,43200,86400,3,3,50,288,9,50,135475.6578431992
0-120-24,120,24,46272,2880,47944,1,6000,288000,144000,28800,115200,3,5,24,400,15,24,135781.18277987523
0-112-24,112,24,43200,2688,51144,1,5600,268800,134400,19200,115200,2,7,24,400,14,24,136124.71362551732
0-80-30,80,30,38640,2400,55576,1,4800,288000,144000,28800,115200,2,5,30,480,10,30,136752.36131533666
0-64-50,64,50,51600,3200,43000,1,2304,230400,115200,28800,86400,2,4,50,288,8,50,137304.10825594945
0-40-60,40,60,38880,2400,55656,1,2000,240000,120000,24000,96000,1,5,60,400,5,60,138437.22262057348
0-96-30,96,30,46320,2880,48280,1,3840,230400,115200,19200,96000,2,6,30,320,12,30,138585.9275384812
0-160-15,160,15,38520,2400,55056,1,12800,384000,192000,38400,153600,4,5,15,640,20,15,138628.71663912816
0-48-50,48,50,38800,2400,55800,1,2304,230400,115200,19200,96000,1,6,50,384,6,50,138885.23170718236
0-56-50,56,50,45200,2800,49592,1,2016,201600,100800,14400,86400,1,7,50,288,7,50,139132.5586572556
0-24-150,24,150,58800,3600,35992,1,672,201600,100800,33600,67200,1,3,150,224,3,150,139593.5971513657
0-144-15,144,15,34680,2160,59152,1,11520,345600,172800,28800,144000,3,6,15,640,18,15,141286.37178286596
0-32-75,32,75,39000,2400,55600,1,1536,230400,115200,28800,86400,1,4,75,384,4,75,141331.75842150731
0-168-20,168,20,53920,3360,40872,1,5040,201600,100800,14400,86400,3,7,20,240,21,20,141403.58164462133
0-72-40,72,40,46400,2880,48008,1,3240,259200,129600,43200,86400,3,3,40,360,9,40,141495.95412692113
0-112-20,112,20,36000,2240,58344,1,6720,268800,134400,19200,115200,2,7,20,480,14,20,141559.07921465917
0-120-20,120,20,38560,2400,55656,1,7200,288000,144000,28800,115200,3,5,20,480,15,20,141572.07922610326
0-128-20,128,20,41120,2560,52968,1,7680,307200,153600,38400,115200,4,4,20,480,16,20,141585.07924136205
0-80-25,80,25,32200,2000,62016,1,5760,288000,144000,28800,115200,2,5,25,576,10,25,141657.34612139745
0-40-50,40,50,32400,2000,62136,1,2400,240000,120000,24000,96000,1,5,50,480,5,50,142065.96988925023
0-64-40,64,40,41280,2560,53320,1,2880,230400,115200,28800,86400,2,4,40,360,8,40,142694.26357897802
0-80-24,80,24,30912,1920,63304,1,6000,288000,144000,28800,115200,2,5,24,600,10,24,142764.7243982224
0-96-25,96,25,38600,2400,56000,1,4608,230400,115200,19200,96000,2,6,25,384,12,25,143392.78029879613
0-48-40,48,40,31040,1920,63560,1,2880,230400,115200,19200,96000,1,6,40,480,6,40,143451.12192019506
0-56-40,56,40,36160,2240,58632,1,2520,201600,100800,14400,86400,1,7,40,360,7,40,143892.5730348496
0-24-120,24,120,47040,2880,47752,1,840,201600,100800,33600,67200,1,3,120,280,3,120,144384.61873492284
0-96-24,96,24,37056,2304,57544,1,4800,230400,115200,19200,96000,2,6,24,400,12,24,144451.4643693833
0-32-60,32,60,31200,1920,63400,1,1920,230400,115200,28800,86400,1,4,60,480,4,60,145467.1097322373
0-40-40,40,40,25920,1600,68616,1,3000,240000,120000,24000,96000,1,5,40,600,5,40,146339.7910905747
0-24-100,24,100,39200,2400,55592,1,1008,201600,100800,33600,67200,1,3,100,336,3,100,147803.48830279394
0-80-20,80,20,25760,1600,68456,1,7200,288000,144000,28800,115200,2,5,20,720,10,20,147826.1439157395
0-32-50,32,50,26000,1600,68600,1,2304,230400,115200,28800,86400,1,4,50,576,4,50,148674.77319582982
0-72-30,72,30,34800,2160,59608,1,4320,259200,129600,43200,86400,3,3,30,480,9,30,148682.1185098557
0-160-12,160,12,30816,1920,62760,1,16000,384000,192000,38400,153600,4,5,12,800,20,12,148982.3410440354
0-64-30,64,30,30960,1920,63640,1,3840,230400,115200,28800,86400,2,4,30,480,8,30,149152.34217318578
0-96-20,96,20,30880,1920,63720,1,5760,230400,115200,19200,96000,2,6,20,480,12,20,149172.76817568822
0-48-30,48,30,23280,1440,71320,1,3840,230400,115200,19200,96000,1,6,30,640,6,30,149179.7235666184
0-56-30,56,30,27120,1680,67672,1,3360,201600,100800,14400,86400,1,7,30,480,7,30,149622.56583651586
0-168-15,168,15,40440,2520,54352,1,6720,201600,100800,14400,86400,3,7,15,320,21,15,150340.68121584936
0-112-15,112,15,27000,1680,67344,1,8960,268800,134400,19200,115200,2,7,15,640,14,15,150421.52660235448
0-144-12,144,12,27744,1728,66088,1,14400,345600,172800,28800,144000,3,6,12,800,18,12,150697.09635409398
0-120-15,120,15,28920,1800,65296,1,9600,288000,144000,28800,115200,3,5,15,640,15,15,151002.62127932592
0-128-15,128,15,30840,1920,63248,1,10240,307200,153600,38400,115200,4,4,15,640,16,15,151583.71595248266
0-40-30,40,30,19440,1200,75096,1,4000,240000,120000,24000,96000,1,5,30,800,5,30,151903.76018771215
0-32-40,32,40,20800,1280,73800,1,2880,230400,115200,28800,86400,1,4,40,720,4,40,152558.5805536179
0-24-75,24,75,29400,1800,65392,1,1344,201600,100800,33600,67200,1,3,75,448,3,75,152582.99943026586
0-48-25,48,25,19400,1200,75200,1,4608,230400,115200,19200,96000,1,6,25,768,6,25,152916.0579706101
0-72-25,72,25,29000,1800,65408,1,5184,259200,129600,43200,86400,3,3,25,576,9,25,153149.60180148168
0-64-25,64,25,25800,1600,68800,1,4608,230400,115200,28800,86400,2,4,25,576,8,25,153182.32391604467
0-56-25,56,25,22600,1400,72192,1,4032,201600,100800,14400,86400,1,7,25,576,7,25,153215.04604586645
0-136-40,136,40,87360,5440,6600,1,240,19200,9600,9600,0,1,1,40,240,17,40,153578.9243046908
0-48-24,48,24,18624,1152,75976,1,4800,230400,115200,19200,96000,1,6,24,800,6,24,153779.59599551244
0-56-24,56,24,21696,1344,73096,1,4200,201600,100800,14400,86400,1,7,24,600,7,24,154030.53994235082
0-88-60,88,60,84960,5280,9768,1,160,19200,9600,9600,0,1,1,60,160,11,60,154063.23386570497
0-64-24,64,24,24768,1536,69832,1,4800,230400,115200,28800,86400,2,4,24,600,8,24,154095.11259707494
0-72-24,72,24,27840,1728,66568,1,5400,259200,129600,43200,86400,3,3,24,600,9,24,154159.68526324315
0-104-50,104,50,83600,5200,10872,1,192,19200,9600,9600,0,1,1,50,192,13,50,154723.8092873959
0-40-25,40,25,16200,1000,78336,1,4800,240000,120000,24000,96000,1,5,25,960,5,25,155653.35564669652
0-24-60,24,60,23520,1440,71272,1,1680,201600,100800,33600,67200,1,3,60,560,3,60,155990.35853823705
0-80-15,80,15,19320,1200,74896,1,9600,288000,144000,28800,115200,2,5,15,960,10,15,156522.5675912766
0-40-24,40,24,15552,960,78984,1,5000,240000,120000,24000,96000,1,5,24,1000,5,24,156532.28952654882
0-96-15,96,15,23160,1440,71440,1,7680,230400,115200,19200,96000,2,6,15,640,12,15,156899.02626284643
0-168-12,168,12,32352,2016,62440,1,8400,201600,100800,14400,86400,3,7,12,400,21,12,157263.74512728734
0-56-20,56,20,18080,1120,76712,1,5040,201600,100800,14400,86400,1,7,20,720,7,20,157777.5046907334
0-32-30,32,30,15600,960,79000,1,3840,230400,115200,28800,86400,1,4,30,960,4,30,157794.67568453832
0-48-20,48,20,15520,960,79080,1,5760,230400,115200,19200,96000,1,6,20,960,6,20,157815.10381182714
0-112-12,112,12,21600,1344,72744,1,11200,268800,134400,19200,115200,2,7,12,800,14,12,157946.45147189184
0-64-20,64,20,20640,1280,73960,1,5760,230400,115200,28800,86400,2,4,20,720,8,20,158280.22893771215
0-160-10,160,10,25680,1600,67896,1,19200,384000,192000,38400,153600,4,5,10,960,20,10,158377.2700143723
0-24-50,24,50,19600,1200,75192,1,2016,201600,100800,33600,67200,1,3,50,672,3,50,158711.64164217992
0-72-20,72,20,23200,1440,71208,1,6480,259200,129600,43200,86400,3,3,20,720,9,20,158782.9531885056
0-120-12,120,12,23136,1440,71080,1,12000,288000,144000,28800,115200,3,5,12,800,15,12,158998.99609622045
0-144-10,144,10,23120,1440,70712,1,17280,345600,172800,28800,144000,3,6,10,960,18,10,159245.77021273656
0-152-30,152,30,73200,4560,20504,1,320,19200,9600,9600,0,1,1,30,320,19,30,159454.04591220303
0-88-50,88,50,70800,4400,23928,1,192,19200,9600,9600,0,1,1,50,192,11,50,159556.0482422678
0-128-12,128,12,24672,1536,69416,1,12800,307200,153600,38400,115200,4,4,12,800,16,12,160051.54069003148
0-40-20,40,20,12960,800,81576,1,6000,240000,120000,24000,96000,1,5,20,1200,5,20,160693.0990014939
0-104-40,104,40,66880,4160,27592,1,240,19200,9600,9600,0,1,1,40,240,13,40,161310.5074820785
0-32-25,32,25,13000,800,81600,1,4608,230400,115200,28800,86400,1,4,25,1152,4,25,161426.93908175512
0-24-40,24,40,15680,960,79112,1,2520,201600,100800,33600,67200,1,3,40,840,3,40,162107.49030551
0-32-24,32,24,12480,768,82120,1,4800,230400,115200,28800,86400,1,4,24,1200,4,24,162288.62053927465
0-136-30,136,30,65520,4080,28440,1,320,19200,9600,9600,0,1,1,30,320,17,30,162353.39013382478
0-168-10,168,10,26960,1680,67832,1,10080,201600,100800,14400,86400,3,7,10,480,21,10,163179.7912202744
0-96-12,96,12,18528,1152,76072,1,9600,230400,115200,19200,96000,2,6,12,800,12,12,163481.05129870458
0-80-12,80,12,15456,960,78760,1,12000,288000,144000,28800,115200,2,5,12,1200,10,12,164268.04771670385
0-56-15,56,15,13560,840,81232,1,6720,201600,100800,14400,86400,1,7,15,960,7,15,164279.92017993017
0-152-25,152,25,61000,3800,32704,1,384,19200,9600,9600,0,1,1,25,384,19,25,164515.65718578978
0-112-10,112,10,18000,1120,76344,1,13440,268800,134400,19200,115200,2,7,10,960,14,10,164802.61511858983
0-48-15,48,15,11640,720,82960,1,7680,230400,115200,19200,96000,1,6,15,1280,6,15,165039.57252368017
0-88-40,88,40,56640,3520,38088,1,240,19200,9600,9600,0,1,1,40,240,11,40,165176.29906961008
0-64-15,64,15,15480,960,79120,1,7680,230400,115200,28800,86400,2,4,15,960,8,15,165513.98049410863
0-152-24,152,24,58560,3648,35144,1,400,19200,9600,9600,0,1,1,24,400,19,24,165553.4667305617
0-120-10,120,10,19280,1200,74936,1,14400,288000,144000,28800,115200,3,5,10,960,15,10,166278.28728732152
0-32-20,32,20,10400,640,84200,1,5760,230400,115200,28800,86400,1,4,20,1440,4,20,166411.49024447484
0-72-15,72,15,17400,1080,77008,1,8640,259200,129600,43200,86400,3,3,15,960,9,15,166748.0408121018
0-24-30,24,30,11760,720,83032,1,3360,201600,100800,33600,67200,1,3,30,1120,3,30,166852.47006281896
0-136-25,136,25,54600,3400,39360,1,384,19200,9600,9600,0,1,1,25,384,17,25,166931.77772369666
0-128-10,128,10,20560,1280,73528,1,15360,307200,153600,38400,115200,4,4,10,960,16,10,167753.95943697973
0-136-24,136,24,52416,3264,41544,1,400,19200,9600,9600,0,1,1,24,400,17,24,167872.94253164215
0-104-30,104,30,50160,3120,44312,1,320,19200,9600,9600,0,1,1,30,320,13,30,168152.07857691927
0-40-15,40,15,9720,600,84816,1,8000,240000,120000,24000,96000,1,5,15,1600,5,15,168313.13812502904
0-96-10,96,10,15440,960,79160,1,11520,230400,115200,19200,96000,2,6,10,960,12,10,169490.95981844945
0-152-20,152,20,48800,3040,44904,1,480,19200,9600,9600,0,1,1,20,480,19,20,169832.14136001153
0-56-12,56,12,10848,672,83944,1,8400,201600,100800,14400,86400,1,7,12,1200,7,12,170121.32630404516
0-24-25,24,25,9800,600,84992,1,4032,201600,100800,33600,67200,1,3,25,1344,3,25,170236.8082643418
0-168-8,168,8,21568,1344,73224,1,12600,201600,100800,14400,86400,3,7,8,600,21,8,171046.84252413793
0-24-24,24,24,9408,576,85384,1,4200,201600,100800,33600,67200,1,3,24,1400,3,24,171048.5890088944
0-88-30,88,30,42480,2640,52248,1,320,19200,9600,9600,0,1,1,30,320,11,30,171051.42279874964
0-144-8,144,8,18496,1152,75336,1,21600,345600,172800,28800,144000,3,6,8,1200,18,8,171206.730249968
0-160-8,160,8,20544,1280,73032,1,24000,384000,192000,38400,153600,4,5,8,1200,20,8,171510.9679666428
0-80-10,80,10,12880,800,81336,1,14400,288000,144000,28800,115200,2,5,10,1440,10,10,171538.05607089086
0-48-12,48,12,9312,576,85288,1,9600,230400,115200,19200,96000,1,6,12,1600,6,12,171699.67663058324
0-104-25,104,25,41800,2600,52672,1,384,19200,9600,9600,0,1,1,25,384,13,25,171764.01880070253
0-136-20,136,20,43680,2720,50280,1,480,19200,9600,9600,0,1,1,20,480,17,20,171765.03821423335
0-64-12,64,12,12384,768,82216,1,9600,230400,115200,28800,86400,2,4,12,1200,8,12,171990.07795962377
0-104-24,104,24,40128,2496,54344,1,400,19200,9600,9600,0,1,1,24,400,13,24,172511.89413577004
0-72-12,72,12,13920,864,80488,1,10800,259200,129600,43200,86400,3,3,12,1200,9,12,173858.8296113877
0-32-15,32,15,7800,480,86800,1,7680,230400,115200,28800,86400,1,4,15,1920,4,15,174100.616968718
0-88-25,88,25,35400,2200,59328,1,384,19200,9600,9600,0,1,1,25,384,11,25,174180.13933872862
0-112-8,112,8,14400,896,79944,1,16800,268800,134400,19200,115200,2,7,8,1200,14,8,174418.09931429906
0-88-24,88,24,33984,2112,60744,1,400,19200,9600,9600,0,1,1,24,400,11,24,174831.36993737204
0-24-20,24,20,7840,480,86952,1,5040,201600,100800,33600,67200,1,3,20,1680,3,20,174970.2775636582
0-40-12,40,12,7776,480,86760,1,10000,240000,120000,24000,96000,1,5,12,2000,5,12,175465.4573617844
0-104-20,104,20,33440,2080,61032,1,480,19200,9600,9600,0,1,1,20,480,13,20,175630.83192495687
0-56-10,56,10,9040,560,85752,1,10080,201600,100800,14400,86400,1,7,10,1440,7,10,175632.2277704148
0-152-15,152,15,36600,2280,57104,1,640,19200,9600,9600,0,1,1,15,640,19,15,175658.37133636756
0-120-8,120,8,15424,960,78792,1,18000,288000,144000,28800,115200,3,5,8,1200,15,8,176480.1404329209
0-136-15,136,15,32760,2040,61200,1,640,19200,9600,9600,0,1,1,15,640,17,15,177108.0445079474
0-88-20,88,20,28320,1760,66408,1,480,19200,9600,9600,0,1,1,20,480,11,20,177563.72878022178
0-96-8,96,8,12352,768,82248,1,14400,230400,115200,19200,96000,2,6,8,1200,12,8,177933.70609911962
0-48-10,48,10,7760,480,86840,1,11520,230400,115200,19200,96000,1,6,10,1920,6,10,178077.5984140305
0-64-10,64,10,10320,640,84280,1,11520,230400,115200,28800,86400,2,4,10,1440,8,10,178087.34837969823
0-128-8,128,8,16448,1024,77640,1,19200,307200,153600,38400,115200,4,4,8,1200,16,8,178542.1815591721
0-152-12,152,12,29280,1824,64424,1,800,19200,9600,9600,0,1,1,12,800,19,12,179663.85512479825
0-104-15,104,15,25080,1560,69392,1,640,19200,9600,9600,0,1,1,15,640,13,15,180007.39085232897
0-72-10,72,10,11600,720,82808,1,12960,259200,129600,43200,86400,3,3,10,1440,9,10,180542.46898898168
0-136-12,136,12,26208,1632,67752,1,800,19200,9600,9600,0,1,1,12,800,17,12,180823.5940866737
0-32-12,32,12,6240,384,88360,1,9600,230400,115200,28800,86400,1,4,12,2400,4,12,181418.66854342504
0-88-15,88,15,21240,1320,73488,1,640,19200,9600,9600,0,1,1,15,640,11,15,181457.064023879
0-80-8,80,8,10304,640,83912,1,18000,288000,144000,28800,115200,2,5,8,1800,10,8,181967.59680041356
0-40-10,40,10,6480,400,88056,1,12000,240000,120000,24000,96000,1,5,10,2400,5,10,182383.91668185277
0-24-15,24,15,5880,360,88912,1,6720,201600,100800,33600,67200,1,3,15,2240,3,15,182402.00904521032
0-152-10,152,10,24400,1520,69304,1,960,19200,9600,9600,0,1,1,10,960,19,10,182758.96581878944
0-104-12,104,12,20064,1248,74408,1,800,19200,9600,9600,0,1,1,12,800,13,12,183143.0720108418
0-56-8,56,8,7232,448,87560,1,12600,201600,100800,14400,86400,1,7,8,1800,7,8,183568.07529315038
0-136-10,136,10,21840,1360,72120,1,960,19200,9600,9600,0,1,1,10,960,17,10,183725.4153077571
0-88-12,88,12,16992,1056,77736,1,800,19200,9600,9600,0,1,1,12,800,11,12,184302.81097267254
0-104-10,104,10,16720,1040,77752,1,960,19200,9600,9600,0,1,1,10,960,13,10,185658.31428491755
0-152-8,152,8,19520,1216,74184,1,1200,19200,9600,9600,0,1,1,8,1200,19,8,186491.25876584335
0-88-10,88,10,14160,880,80568,1,960,19200,9600,9600,0,1,1,10,960,11,10,186624.7637736766
0-64-8,64,8,8256,512,86344,1,14400,230400,115200,28800,86400,2,4,8,1800,8,8,186854.4269777207
0-136-8,136,8,17472,1088,76488,1,1200,19200,9600,9600,0,1,1,8,1200,17,8,187264.4187814264
0-48-8,48,8,6208,384,88392,1,14400,230400,115200,19200,96000,1,6,8,2400,6,8,187362.29881533666
0-32-10,32,10,5200,320,89400,1,11520,230400,115200,28800,86400,1,4,10,2880,4,10,188551.1825509934
0-104-8,104,8,13376,832,81096,1,1200,19200,9600,9600,0,1,1,8,1200,13,8,188810.73881207092
0-24-12,24,12,4704,288,90088,1,8400,201600,100800,33600,67200,1,3,12,2800,3,12,189559.31014498754
0-88-8,88,8,11328,704,83400,1,1200,19200,9600,9600,0,1,1,8,1200,11,8,189583.89882716222
0-72-8,72,8,9280,576,85128,1,16200,259200,129600,43200,86400,3,3,8,1800,9,8,190140.7786546616
0-40-8,40,8,5184,320,89352,1,15000,240000,120000,24000,96000,1,5,8,3000,5,8,192527.74570712133
0-24-10,24,10,3920,240,90872,1,10080,201600,100800,33600,67200,1,3,10,3360,3,10,196579.39603671117
0-32-8,32,8,4160,256,90440,1,14400,230400,115200,28800,86400,1,4,8,3600,4,8,199064.41600665136
0-24-8,24,8,3136,192,91656,1,12600,201600,100800,33600,67200,1,3,8,4200,3,8,206972.30967959447
